Mode;Unit;Value;Temp;Time;Date
MEDIÇÃO DE pH;pH;0.38;24.20;1000;10/06/2024 22:46:40
MEDIÇÃO DE pH;pH;0.44;24.13;2000;10/06/2024 22:46:40
MEDIÇÃO DE pH;pH;0.53;24.66;3000;10/06/2024 22:46:40
MEDIÇÃO DE pH;pH;0.56;24.60;4000;10/06/2024 22:46:40
MEDIÇÃO DE pH;pH;0.57;24.45;5000;10/06/2024 22:46:40
MEDIÇÃO DE pH;pH;0.64;24.53;6000;10/06/2024 22:46:40
MEDIÇÃO DE pH;pH;0.66;24.05;7000;10/06/2024 22:46:40
MEDIÇÃO DE pH;pH;0.69;24.91;8000;10/06/2024 22:46:40
MEDIÇÃO DE pH;pH;0.71;24.31;9000;10/06/2024 22:46:40
MEDIÇÃO DE pH;pH;0.81;24.56;10000;10/06/2024 22:46:40
MEDIÇÃO DE pH;pH;0.86;24.20;11000;10/06/2024 22:46:40
MEDIÇÃO DE pH;pH;0.89;24.35;12000;10/06/2024 22:46:40
MEDIÇÃO DE pH;pH;0.95;24.01;13000;10/06/2024 22:46:40
MEDIÇÃO DE pH;pH;0.99;24.77;14000;10/06/2024 22:46:40
MEDIÇÃO DE pH;pH;1.05;24.87;15000;10/06/2024 22:46:40
