Mode;Unit;Value;Temp;Time;Date
MEDIÇÃO DE CONDUTIVIDADE;pH;7.53;25.00;1000;10/06/2024 22:47:25
MEDIÇÃO DE CONDUTIVIDADE;pH;6.45;25.00;2000;10/06/2024 22:47:25
MEDIÇÃO DE CONDUTIVIDADE;pH;6.35;25.00;3000;10/06/2024 22:47:25
MEDIÇÃO DE CONDUTIVIDADE;pH;5.45;25.00;4000;10/06/2024 22:47:25
MEDIÇÃO DE CONDUTIVIDADE;pH;8.33;25.00;5000;10/06/2024 22:47:25
MEDIÇÃO DE CONDUTIVIDADE;pH;0.52;25.00;6000;10/06/2024 22:47:25
MEDIÇÃO DE CONDUTIVIDADE;pH;2.54;25.00;7000;10/06/2024 22:47:25
MEDIÇÃO DE CONDUTIVIDADE;pH;5.13;25.00;8000;10/06/2024 22:47:25
MEDIÇÃO DE CONDUTIVIDADE;pH;2.28;25.00;9000;10/06/2024 22:47:25
MEDIÇÃO DE CONDUTIVIDADE;pH;6.50;25.00;10000;10/06/2024 22:47:25
MEDIÇÃO DE CONDUTIVIDADE;pH;9.49;25.00;11000;10/06/2024 22:47:25
MEDIÇÃO DE CONDUTIVIDADE;pH;0.55;25.00;12000;10/06/2024 22:47:25
MEDIÇÃO DE CONDUTIVIDADE;pH;3.72;25.00;13000;10/06/2024 22:47:25
MEDIÇÃO DE CONDUTIVIDADE;pH;7.99;25.00;14000;10/06/2024 22:47:25
MEDIÇÃO DE CONDUTIVIDADE;pH;2.62;25.00;15000;10/06/2024 22:47:25
